id,silicon_data_source,backend,backend_version,model_path,system,precision,mode,isl,osl,gemm_quant_mode,moe_quant_mode,batch_size,tp_size,pp_size,attention_dp_size,moe_tp_size,moe_ep_size,prefill_batch_size,prefill_num_workers,prefill_tp_size,prefill_pp_size,prefill_attention_dp_size,prefill_moe_tp_size,prefill_moe_ep_size,decode_batch_size,decode_num_workers,decode_tp_size,decode_pp_size,decode_attention_dp_size,decode_moe_tp_size,decode_moe_ep_size,silicon_ttft_ms,silicon_tpot_ms
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c128_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=128; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,128,4,1,1,4,1,,,,,,,,,,,,,,,972.3109823355117,33.442908754168066
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c128_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=128; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,128,4,1,1,4,1,,,,,,,,,,,,,,,205.55675526484265,17.789099860809017
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c64_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=64; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,64,4,1,1,4,1,,,,,,,,,,,,,,,129.0508975616831,14.495721370341455
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c256_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=256; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,256,4,1,1,4,1,,,,,,,,,,,,,,,1692.228194767185,54.69870214219635
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c32_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=32; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,32,4,1,1,4,1,,,,,,,,,,,,,,,391.83302698418174,16.559899928668575
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c32_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=32; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,32,4,1,1,4,1,,,,,,,,,,,,,,,95.59450060938843,12.096114324277863
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c16_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=16; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,16,4,1,1,4,1,,,,,,,,,,,,,,,272.3589911613999,11.864343255383572
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c256_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=256; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,256,4,1,1,4,1,,,,,,,,,,,,,,,371.35274169418153,25.65419696585387
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c4_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=4; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,4,4,1,1,4,1,,,,,,,,,,,,,,,166.3265193987172,8.374824605430753
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c8_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=8; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,8,4,1,1,4,1,,,,,,,,,,,,,,,60.16744170119637,8.63133299796975
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c8_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=8; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,8,4,1,1,4,1,,,,,,,,,,,,,,,200.6120202377133,9.495576656638212
