HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command,Source
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.10,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.10,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.12,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.12 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.12,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.12 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.14,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.14 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.14,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.14 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.6.post2,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/sweep.py"", line 457, in sweep_agg\n    model = get_model(\n            ^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/__init__.py"", line 115, in get_model\n    return cls.create(model_info, model_config, backend_name)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 59, in create\n    return cls(*moe_args, *base_args, extra_params)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 85, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 374, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 925, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 814, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1595, in run\n    return sweep_agg(\n           ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/sweep.py"", line 526, in sweep_agg\n    raise RuntimeError(\nRuntimeError: sweep_agg: no results for any parallel configuration. Last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.6.post2 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.6.post2,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/sweep.py"", line 599, in _get_disagg_worker_candidates\n    model = get_model(model_path=model_path, model_config=point_mc, backend_name=backend_name)\n            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/__init__.py"", line 115, in get_model\n    return cls.create(model_info, model_config, backend_name)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 59, in create\n    return cls(*moe_args, *base_args, extra_params)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 85, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""aic-core/src/aiconfigurator_core/sdk/models/moe.py"", line 374, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 925, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 814, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1607, in run\n    return sweep_disagg(\n           ^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/sweep.py"", line 850, in sweep_disagg\n    prefill_summary_df = _get_disagg_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/sweep.py"", line 642, in _get_disagg_worker_candidates\n    raise RuntimeError(\nRuntimeError: sweep_disagg/prefill: no results for any parallel config. Last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.6.post2 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.9,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.9,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.2.0rc5,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend trtllm --backend-version 1.2.0rc5 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.2.0rc5,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend trtllm --backend-version 1.2.0rc5 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.3.0rc10,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.3.0rc10,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.3.0rc15,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system h100_sxm --backend trtllm --backend-version 1.3.0rc15 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,silicon
